year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2016,10001,ZCTA5 10001,23332,14814,2235,5000,3589,0,ACS 2016 5-year (ZCTA)
2016,10002,ZCTA5 10002,78096,24591,6638,33352,20754,0,ACS 2016 5-year (ZCTA)
2016,10003,ZCTA5 10003,56767,44001,2493,7348,4470,0,ACS 2016 5-year (ZCTA)
2016,10004,ZCTA5 10004,3044,2201,31,744,250,0,ACS 2016 5-year (ZCTA)
2016,10005,ZCTA5 10005,8710,6425,245,1625,596,0,ACS 2016 5-year (ZCTA)
2016,10006,ZCTA5 10006,3277,2162,99,686,387,0,ACS 2016 5-year (ZCTA)
2016,10007,ZCTA5 10007,6740,4790,390,1062,668,0,ACS 2016 5-year (ZCTA)
2016,10009,ZCTA5 10009,59799,36219,4898,8096,15200,0,ACS 2016 5-year (ZCTA)
2016,10010,ZCTA5 10010,32854,24356,1867,4963,4052,0,ACS 2016 5-year (ZCTA)
2016,10011,ZCTA5 10011,50404,40021,2313,5091,5517,0,ACS 2016 5-year (ZCTA)
2016,10012,ZCTA5 10012,24536,18565,641,3959,1441,0,ACS 2016 5-year (ZCTA)
2016,10013,ZCTA5 10013,28211,15813,1371,9039,2025,0,ACS 2016 5-year (ZCTA)
2016,10014,ZCTA5 10014,31464,27978,417,1770,2150,0,ACS 2016 5-year (ZCTA)
2016,10016,ZCTA5 10016,50444,36626,1537,9872,4341,0,ACS 2016 5-year (ZCTA)
2016,10017,ZCTA5 10017,16533,11965,503,3732,1148,0,ACS 2016 5-year (ZCTA)
2016,10018,ZCTA5 10018,9684,5724,532,2842,1599,0,ACS 2016 5-year (ZCTA)
2016,10019,ZCTA5 10019,39505,27568,2551,6356,6020,0,ACS 2016 5-year (ZCTA)
2016,10021,ZCTA5 10021,45261,37409,576,4280,3356,0,ACS 2016 5-year (ZCTA)
2016,10022,ZCTA5 10022,30262,25795,605,3170,1872,0,ACS 2016 5-year (ZCTA)
2016,10023,ZCTA5 10023,60307,49506,2060,6270,6358,0,ACS 2016 5-year (ZCTA)
2016,10024,ZCTA5 10024,58516,47632,3146,4282,6587,0,ACS 2016 5-year (ZCTA)
2016,10025,ZCTA5 10025,94717,62509,11505,8697,21508,0,ACS 2016 5-year (ZCTA)
2016,10026,ZCTA5 10026,38540,10025,21314,2076,8037,0,ACS 2016 5-year (ZCTA)
2016,10027,ZCTA5 10027,64120,19234,26546,6201,15441,0,ACS 2016 5-year (ZCTA)
2016,10028,ZCTA5 10028,48205,41499,659,4436,2941,0,ACS 2016 5-year (ZCTA)
2016,10029,ZCTA5 10029,79411,27547,22983,6912,37646,0,ACS 2016 5-year (ZCTA)
2016,10030,ZCTA5 10030,30358,4829,19828,704,8246,0,ACS 2016 5-year (ZCTA)
2016,10031,ZCTA5 10031,60778,17689,19916,2091,30804,0,ACS 2016 5-year (ZCTA)
2016,10032,ZCTA5 10032,63189,19928,12119,2597,43343,0,ACS 2016 5-year (ZCTA)
2016,10033,ZCTA5 10033,59353,24531,6097,1389,41015,0,ACS 2016 5-year (ZCTA)
2016,10034,ZCTA5 10034,43951,17431,4109,873,32123,0,ACS 2016 5-year (ZCTA)
2016,10035,ZCTA5 10035,34187,7486,14313,1879,15322,0,ACS 2016 5-year (ZCTA)
2016,10036,ZCTA5 10036,25987,16688,1945,5008,4611,0,ACS 2016 5-year (ZCTA)
2016,10037,ZCTA5 10037,20112,2161,14880,503,4710,0,ACS 2016 5-year (ZCTA)
2016,10038,ZCTA5 10038,22300,11212,1940,7460,3476,0,ACS 2016 5-year (ZCTA)
2016,10039,ZCTA5 10039,27471,3260,17984,388,8428,0,ACS 2016 5-year (ZCTA)
2016,10040,ZCTA5 10040,45033,16353,4635,1320,31416,0,ACS 2016 5-year (ZCTA)
2016,10044,ZCTA5 10044,11731,6234,1710,3034,1570,0,ACS 2016 5-year (ZCTA)
2016,10065,ZCTA5 10065,30001,26148,1010,2329,1819,0,ACS 2016 5-year (ZCTA)
2016,10069,ZCTA5 10069,5231,3764,158,1161,31,117,ACS 2016 5-year (ZCTA)
2016,10075,ZCTA5 10075,23353,20558,341,1152,2253,0,ACS 2016 5-year (ZCTA)
2016,10128,ZCTA5 10128,63006,50826,3094,5828,8212,0,ACS 2016 5-year (ZCTA)
2016,10280,ZCTA5 10280,9845,7584,156,1630,1107,0,ACS 2016 5-year (ZCTA)
2016,10282,ZCTA5 10282,5635,3986,78,1243,388,0,ACS 2016 5-year (ZCTA)
2016,10301,ZCTA5 10301,39519,21218,11216,2406,9648,0,ACS 2016 5-year (ZCTA)
2016,10302,ZCTA5 10302,17758,10741,3279,1384,6958,0,ACS 2016 5-year (ZCTA)
