zipcode,name,asian_population
10001,ZCTA5 10001,5228
10002,ZCTA5 10002,27700
10003,ZCTA5 10003,9639
10004,ZCTA5 10004,923
10005,ZCTA5 10005,1311
10006,ZCTA5 10006,1058
10007,ZCTA5 10007,1179
10009,ZCTA5 10009,7533
10010,ZCTA5 10010,4517
10011,ZCTA5 10011,5118
10012,ZCTA5 10012,3780
10013,ZCTA5 10013,8621
10014,ZCTA5 10014,1516
10016,ZCTA5 10016,10830
10017,ZCTA5 10017,2736
10018,ZCTA5 10018,2402
10019,ZCTA5 10019,8151
10021,ZCTA5 10021,3888
10022,ZCTA5 10022,4026
10023,ZCTA5 10023,10948
10024,ZCTA5 10024,2973
10025,ZCTA5 10025,9406
10026,ZCTA5 10026,2369
10027,ZCTA5 10027,6669
10028,ZCTA5 10028,3177
10029,ZCTA5 10029,8940
10030,ZCTA5 10030,1521
10031,ZCTA5 10031,2621
10032,ZCTA5 10032,2789
10033,ZCTA5 10033,1817
10034,ZCTA5 10034,1265
10035,ZCTA5 10035,2260
10036,ZCTA5 10036,4670
10037,ZCTA5 10037,775
10038,ZCTA5 10038,6875
10039,ZCTA5 10039,446
10040,ZCTA5 10040,731
10044,ZCTA5 10044,3538
10065,ZCTA5 10065,4055
10069,ZCTA5 10069,1947
10075,ZCTA5 10075,2276
10128,ZCTA5 10128,6166
10280,ZCTA5 10280,2463
10282,ZCTA5 10282,903
10301,ZCTA5 10301,3050
10302,ZCTA5 10302,1180
10303,ZCTA5 10303,2607
10304,ZCTA5 10304,6090
10305,ZCTA5 10305,8626
10306,ZCTA5 10306,8985
10307,ZCTA5 10307,693
10308,ZCTA5 10308,2256
10309,ZCTA5 10309,1390
10310,ZCTA5 10310,1338
10312,ZCTA5 10312,5989
10314,ZCTA5 10314,17404
10451,ZCTA5 10451,557
10452,ZCTA5 10452,705
10453,ZCTA5 10453,998
10454,ZCTA5 10454,243
10455,ZCTA5 10455,654
10456,ZCTA5 10456,723
10457,ZCTA5 10457,573
10458,ZCTA5 10458,3022
10459,ZCTA5 10459,558
10460,ZCTA5 10460,610
10461,ZCTA5 10461,6956
10462,ZCTA5 10462,13732
10463,ZCTA5 10463,2788
10464,ZCTA5 10464,91
10465,ZCTA5 10465,2676
10466,ZCTA5 10466,1477
10467,ZCTA5 10467,6267
10468,ZCTA5 10468,1852
10469,ZCTA5 10469,4407
10470,ZCTA5 10470,410
10471,ZCTA5 10471,1069
10472,ZCTA5 10472,5164
10473,ZCTA5 10473,1454
10474,ZCTA5 10474,46
10475,ZCTA5 10475,796
11004,ZCTA5 11004,7435
11101,ZCTA5 11101,12179
11102,ZCTA5 11102,4449
11103,ZCTA5 11103,4520
11104,ZCTA5 11104,7601
11105,ZCTA5 11105,4133
11106,ZCTA5 11106,7534
11109,ZCTA5 11109,2059
11201,ZCTA5 11201,9950
11203,ZCTA5 11203,1352
11204,ZCTA5 11204,23781
11205,ZCTA5 11205,3381
11206,ZCTA5 11206,5891
