zipcode,name,black_population
10001,ZCTA5 10001,3070
10002,ZCTA5 10002,7074
10003,ZCTA5 10003,2367
10004,ZCTA5 10004,278
10005,ZCTA5 10005,405
10006,ZCTA5 10006,271
10007,ZCTA5 10007,704
10009,ZCTA5 10009,5002
10010,ZCTA5 10010,2912
10011,ZCTA5 10011,1950
10012,ZCTA5 10012,715
10013,ZCTA5 10013,1053
10014,ZCTA5 10014,907
10016,ZCTA5 10016,2534
10017,ZCTA5 10017,491
10018,ZCTA5 10018,874
10019,ZCTA5 10019,2740
10021,ZCTA5 10021,232
10022,ZCTA5 10022,672
10023,ZCTA5 10023,3139
10024,ZCTA5 10024,1883
10025,ZCTA5 10025,9864
10026,ZCTA5 10026,17758
10027,ZCTA5 10027,23503
10028,ZCTA5 10028,744
10029,ZCTA5 10029,23634
10030,ZCTA5 10030,17951
10031,ZCTA5 10031,17393
10032,ZCTA5 10032,9029
10033,ZCTA5 10033,3801
10034,ZCTA5 10034,4360
10035,ZCTA5 10035,14923
10036,ZCTA5 10036,2474
10037,ZCTA5 10037,11736
10038,ZCTA5 10038,2604
10039,ZCTA5 10039,16742
10040,ZCTA5 10040,2780
10044,ZCTA5 10044,1772
10065,ZCTA5 10065,680
10069,ZCTA5 10069,203
10075,ZCTA5 10075,196
10128,ZCTA5 10128,3173
10280,ZCTA5 10280,161
10282,ZCTA5 10282,145
10301,ZCTA5 10301,9748
10302,ZCTA5 10302,4435
10303,ZCTA5 10303,9294
10304,ZCTA5 10304,12008
10305,ZCTA5 10305,1251
10306,ZCTA5 10306,1883
10307,ZCTA5 10307,7
10308,ZCTA5 10308,229
10309,ZCTA5 10309,148
10310,ZCTA5 10310,5627
10312,ZCTA5 10312,800
10314,ZCTA5 10314,3526
10451,ZCTA5 10451,23345
10452,ZCTA5 10452,26617
10453,ZCTA5 10453,25647
10454,ZCTA5 10454,12168
10455,ZCTA5 10455,13034
10456,ZCTA5 10456,41291
10457,ZCTA5 10457,33115
10458,ZCTA5 10458,14395
10459,ZCTA5 10459,17104
10460,ZCTA5 10460,22229
10461,ZCTA5 10461,5128
10462,ZCTA5 10462,18307
10463,ZCTA5 10463,10503
10464,ZCTA5 10464,61
10465,ZCTA5 10465,6164
10466,ZCTA5 10466,47389
10467,ZCTA5 10467,29859
10468,ZCTA5 10468,19158
10469,ZCTA5 10469,39845
10470,ZCTA5 10470,5290
10471,ZCTA5 10471,2076
10472,ZCTA5 10472,17362
10473,ZCTA5 10473,24534
10474,ZCTA5 10474,3439
10475,ZCTA5 10475,27364
11004,ZCTA5 11004,817
11101,ZCTA5 11101,4173
11102,ZCTA5 11102,1833
11103,ZCTA5 11103,1014
11104,ZCTA5 11104,779
11105,ZCTA5 11105,1604
11106,ZCTA5 11106,3242
11109,ZCTA5 11109,48
11201,ZCTA5 11201,8597
11203,ZCTA5 11203,61075
11204,ZCTA5 11204,975
11205,ZCTA5 11205,10866
11206,ZCTA5 11206,18331
11207,ZCTA5 11207,55477
11208,ZCTA5 11208,47996
11209,ZCTA5 11209,2099
11210,ZCTA5 11210,30791
11211,ZCTA5 11211,3926
11212,ZCTA5 11212,61636
11213,ZCTA5 11213,40773
11214,ZCTA5 11214,1961
11215,ZCTA5 11215,2582
11216,ZCTA5 11216,28305
11217,ZCTA5 11217,7472
11218,ZCTA5 11218,6725
11219,ZCTA5 11219,1331
11220,ZCTA5 11220,2277
11221,ZCTA5 11221,36876
11222,ZCTA5 11222,1720
11223,ZCTA5 11223,4446
11224,ZCTA5 11224,11552
11225,ZCTA5 11225,30571
11226,ZCTA5 11226,60532
11228,ZCTA5 11228,576
11229,ZCTA5 11229,5301
11230,ZCTA5 11230,7645
11231,ZCTA5 11231,4937
11232,ZCTA5 11232,1951
11233,ZCTA5 11233,56487
