zipcode,name,hispanic_population
10001,ZCTA5 10001,5547
10002,ZCTA5 10002,18646
10003,ZCTA5 10003,5285
10004,ZCTA5 10004,189
10005,ZCTA5 10005,935
10006,ZCTA5 10006,125
10007,ZCTA5 10007,1016
10009,ZCTA5 10009,14245
10010,ZCTA5 10010,2701
10011,ZCTA5 10011,6398
10012,ZCTA5 10012,2300
10013,ZCTA5 10013,2189
10014,ZCTA5 10014,3223
10016,ZCTA5 10016,6161
10017,ZCTA5 10017,637
10018,ZCTA5 10018,1290
10019,ZCTA5 10019,7360
10021,ZCTA5 10021,2633
10022,ZCTA5 10022,2769
10023,ZCTA5 10023,6656
10024,ZCTA5 10024,5600
10025,ZCTA5 10025,20965
10026,ZCTA5 10026,6624
10027,ZCTA5 10027,15470
10028,ZCTA5 10028,2780
10029,ZCTA5 10029,31403
10030,ZCTA5 10030,8372
10031,ZCTA5 10031,29473
10032,ZCTA5 10032,34688
10033,ZCTA5 10033,33822
10034,ZCTA5 10034,26191
10035,ZCTA5 10035,16341
10036,ZCTA5 10036,5706
10037,ZCTA5 10037,3801
10038,ZCTA5 10038,2748
10039,ZCTA5 10039,9987
10040,ZCTA5 10040,28612
10044,ZCTA5 10044,1230
10065,ZCTA5 10065,3099
10069,ZCTA5 10069,556
10075,ZCTA5 10075,1272
10128,ZCTA5 10128,7406
10280,ZCTA5 10280,1023
10282,ZCTA5 10282,124
10301,ZCTA5 10301,11634
10302,ZCTA5 10302,8559
10303,ZCTA5 10303,9792
10304,ZCTA5 10304,10924
10305,ZCTA5 10305,6461
10306,ZCTA5 10306,10009
10307,ZCTA5 10307,1649
10308,ZCTA5 10308,3297
10309,ZCTA5 10309,3068
10310,ZCTA5 10310,8189
10312,ZCTA5 10312,8517
10314,ZCTA5 10314,14048
10451,ZCTA5 10451,24896
10452,ZCTA5 10452,50094
10453,ZCTA5 10453,52629
10454,ZCTA5 10454,28354
10455,ZCTA5 10455,30337
10456,ZCTA5 10456,45412
10457,ZCTA5 10457,50192
10458,ZCTA5 10458,55275
10459,ZCTA5 10459,32964
10460,ZCTA5 10460,39980
10461,ZCTA5 10461,23703
10462,ZCTA5 10462,34617
10463,ZCTA5 10463,34773
10464,ZCTA5 10464,1400
10465,ZCTA5 10465,21438
10466,ZCTA5 10466,21437
10467,ZCTA5 10467,51489
10468,ZCTA5 10468,60755
10469,ZCTA5 10469,19150
10470,ZCTA5 10470,3700
10471,ZCTA5 10471,7304
10472,ZCTA5 10472,39427
10473,ZCTA5 10473,35424
10474,ZCTA5 10474,7994
10475,ZCTA5 10475,12913
11004,ZCTA5 11004,1398
11101,ZCTA5 11101,7385
11102,ZCTA5 11102,7450
11103,ZCTA5 11103,9263
11104,ZCTA5 11104,7312
11105,ZCTA5 11105,8615
11106,ZCTA5 11106,10951
11109,ZCTA5 11109,375
11201,ZCTA5 11201,7403
11203,ZCTA5 11203,5599
11204,ZCTA5 11204,10605
11205,ZCTA5 11205,7605
11206,ZCTA5 11206,32462
11207,ZCTA5 11207,30985
11208,ZCTA5 11208,42003
11209,ZCTA5 11209,13789
11210,ZCTA5 11210,4499
11211,ZCTA5 11211,17336
11212,ZCTA5 11212,17172
11213,ZCTA5 11213,9129
11214,ZCTA5 11214,14851
11215,ZCTA5 11215,10299
11216,ZCTA5 11216,7339
11217,ZCTA5 11217,6748
11218,ZCTA5 11218,12210
11219,ZCTA5 11219,12384
11220,ZCTA5 11220,36244
11221,ZCTA5 11221,28900
11222,ZCTA5 11222,6313
11223,ZCTA5 11223,10415
11224,ZCTA5 11224,8974
11225,ZCTA5 11225,5860
11226,ZCTA5 11226,16356
11228,ZCTA5 11228,5333
11229,ZCTA5 11229,7261
11230,ZCTA5 11230,11187
11231,ZCTA5 11231,6281
11232,ZCTA5 11232,13898
11233,ZCTA5 11233,13291
11234,ZCTA5 11234,8569
11235,ZCTA5 11235,7105
11236,ZCTA5 11236,7911
11237,ZCTA5 11237,23645
11238,ZCTA5 11238,8547
11239,ZCTA5 11239,3048
11354,ZCTA5 11354,7530
11355,ZCTA5 11355,11424
11356,ZCTA5 11356,11299
11357,ZCTA5 11357,6080
11358,ZCTA5 11358,6274
11360,ZCTA5 11360,2410
11361,ZCTA5 11361,4558
11362,ZCTA5 11362,1723
11363,ZCTA5 11363,925
11364,ZCTA5 11364,5525
11365,ZCTA5 11365,8878
11366,ZCTA5 11366,2140
11367,ZCTA5 11367,8123
11368,ZCTA5 11368,79956
11369,ZCTA5 11369,19657
11370,ZCTA5 11370,11206
11372,ZCTA5 11372,37023
11373,ZCTA5 11373,43153
11374,ZCTA5 11374,10098
11375,ZCTA5 11375,12360
11377,ZCTA5 11377,33160
11378,ZCTA5 11378,13150
11379,ZCTA5 11379,8692
11385,ZCTA5 11385,47199
11411,ZCTA5 11411,1537
11412,ZCTA5 11412,3548
11413,ZCTA5 11413,3910
11414,ZCTA5 11414,7800
11415,ZCTA5 11415,5281
11416,ZCTA5 11416,11535
11417,ZCTA5 11417,11247
11418,ZCTA5 11418,14891
11419,ZCTA5 11419,9672
11420,ZCTA5 11420,10769
11421,ZCTA5 11421,23464
11422,ZCTA5 11422,3001
11423,ZCTA5 11423,4484
11426,ZCTA5 11426,3117
11427,ZCTA5 11427,4233
11428,ZCTA5 11428,5287
11429,ZCTA5 11429,4237
