zipcode,name,white_population
10001,ZCTA5 10001,15893
10002,ZCTA5 10002,23597
10003,ZCTA5 10003,36193
10004,ZCTA5 10004,2460
10005,ZCTA5 10005,6254
10006,ZCTA5 10006,2932
10007,ZCTA5 10007,5593
10009,ZCTA5 10009,32293
10010,ZCTA5 10010,20884
10011,ZCTA5 10011,35340
10012,ZCTA5 10012,15076
10013,ZCTA5 10013,15873
10014,ZCTA5 10014,24317
10016,ZCTA5 10016,33663
10017,ZCTA5 10017,10102
10018,ZCTA5 10018,3871
10019,ZCTA5 10019,26883
10021,ZCTA5 10021,32620
10022,ZCTA5 10022,26374
10023,ZCTA5 10023,45595
10024,ZCTA5 10024,50685
10025,ZCTA5 10025,53927
10026,ZCTA5 10026,9819
10027,ZCTA5 10027,19634
10028,ZCTA5 10028,38602
10029,ZCTA5 10029,15835
10030,ZCTA5 10030,4659
10031,ZCTA5 10031,12743
10032,ZCTA5 10032,12018
10033,ZCTA5 10033,17974
10034,ZCTA5 10034,10488
10035,ZCTA5 10035,7992
10036,ZCTA5 10036,17012
10037,ZCTA5 10037,2574
10038,ZCTA5 10038,10416
10039,ZCTA5 10039,3183
10040,ZCTA5 10040,11008
10044,ZCTA5 10044,5063
10065,ZCTA5 10065,23642
10069,ZCTA5 10069,3036
10075,ZCTA5 10075,19737
10128,ZCTA5 10128,41579
10280,ZCTA5 10280,5333
10282,ZCTA5 10282,4207
10301,ZCTA5 10301,17504
10302,ZCTA5 10302,6572
10303,ZCTA5 10303,6824
10304,ZCTA5 10304,19743
10305,ZCTA5 10305,26964
10306,ZCTA5 10306,39494
10307,ZCTA5 10307,12665
10308,ZCTA5 10308,24886
10309,ZCTA5 10309,30698
10310,ZCTA5 10310,12927
10312,ZCTA5 10312,50048
10314,ZCTA5 10314,61357
10451,ZCTA5 10451,6413
10452,ZCTA5 10452,8949
10453,ZCTA5 10453,8812
10454,ZCTA5 10454,4879
10455,ZCTA5 10455,3655
10456,ZCTA5 10456,8911
10457,ZCTA5 10457,7143
10458,ZCTA5 10458,8937
10459,ZCTA5 10459,3912
10460,ZCTA5 10460,6553
10461,ZCTA5 10461,20438
10462,ZCTA5 10462,11771
10463,ZCTA5 10463,26634
10464,ZCTA5 10464,2849
10465,ZCTA5 10465,20938
10466,ZCTA5 10466,4418
10467,ZCTA5 10467,15203
10468,ZCTA5 10468,8601
10469,ZCTA5 10469,8760
10470,ZCTA5 10470,6499
10471,ZCTA5 10471,13377
10472,ZCTA5 10472,4455
10473,ZCTA5 10473,7831
10474,ZCTA5 10474,741
10475,ZCTA5 10475,3460
11004,ZCTA5 11004,4097
11101,ZCTA5 11101,14613
11102,ZCTA5 11102,14744
11103,ZCTA5 11103,21137
11104,ZCTA5 11104,11994
11105,ZCTA5 11105,25080
11106,ZCTA5 11106,19097
11109,ZCTA5 11109,4554
11201,ZCTA5 11201,41843
11203,ZCTA5 11203,4312
11204,ZCTA5 11204,44863
11205,ZCTA5 11205,27195
11206,ZCTA5 11206,37667
11207,ZCTA5 11207,10443
11208,ZCTA5 11208,11350
11209,ZCTA5 11209,45955
11210,ZCTA5 11210,18556
11211,ZCTA5 11211,41352
11212,ZCTA5 11212,5860
11213,ZCTA5 11213,17385
11214,ZCTA5 11214,37446
11215,ZCTA5 11215,50513
11216,ZCTA5 11216,18885
11217,ZCTA5 11217,22392
11218,ZCTA5 11218,37197
11219,ZCTA5 11219,58245
11220,ZCTA5 11220,20328
11221,ZCTA5 11221,20702
11222,ZCTA5 11222,29416
11223,ZCTA5 11223,41478
11224,ZCTA5 11224,24103
11225,ZCTA5 11225,16108
11226,ZCTA5 11226,15760
11228,ZCTA5 11228,21557
11229,ZCTA5 11229,48542
11230,ZCTA5 11230,53196
11231,ZCTA5 11231,25607
11232,ZCTA5 11232,9232
11233,ZCTA5 11233,11722
11234,ZCTA5 11234,31896
11235,ZCTA5 11235,56257
11236,ZCTA5 11236,4638
11237,ZCTA5 11237,14395
11238,ZCTA5 11238,29245
11239,ZCTA5 11239,2590
11354,ZCTA5 11354,8894
11355,ZCTA5 11355,6736
11356,ZCTA5 11356,6063
11357,ZCTA5 11357,24702
11358,ZCTA5 11358,11513
11360,ZCTA5 11360,11055
11361,ZCTA5 11361,12630
11362,ZCTA5 11362,7235
11363,ZCTA5 11363,4266
11364,ZCTA5 11364,11649
11365,ZCTA5 11365,10702
11366,ZCTA5 11366,4183
11367,ZCTA5 11367,19206
11368,ZCTA5 11368,16774
11369,ZCTA5 11369,4233
11370,ZCTA5 11370,9858
11372,ZCTA5 11372,20478
11373,ZCTA5 11373,9152
11374,ZCTA5 11374,19584
11375,ZCTA5 11375,38374
11377,ZCTA5 11377,24765
11378,ZCTA5 11378,21357
11379,ZCTA5 11379,24758
11385,ZCTA5 11385,55544
11411,ZCTA5 11411,663
11412,ZCTA5 11412,639
11413,ZCTA5 11413,737
11414,ZCTA5 11414,20701
11415,ZCTA5 11415,10329
11416,ZCTA5 11416,4601
11417,ZCTA5 11417,7645
11418,ZCTA5 11418,8341
11419,ZCTA5 11419,2618
11420,ZCTA5 11420,3505
11421,ZCTA5 11421,9471
11422,ZCTA5 11422,2352
11423,ZCTA5 11423,3140
11426,ZCTA5 11426,4838
11427,ZCTA5 11427,4210
11428,ZCTA5 11428,1887
11429,ZCTA5 11429,1230
11432,ZCTA5 11432,8839
11433,ZCTA5 11433,1003
11434,ZCTA5 11434,2318
11435,ZCTA5 11435,8266
11436,ZCTA5 11436,394
11691,ZCTA5 11691,19256
11692,ZCTA5 11692,3769
11693,ZCTA5 11693,6668
11694,ZCTA5 11694,16544
11697,ZCTA5 11697,4050
