zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
10001,ZCTA5 10001,29079,15893,3070,5228,5547,0,ACS 2023 5-year (ZCTA)
10002,ZCTA5 10002,75517,23597,7074,27700,18646,0,ACS 2023 5-year (ZCTA)
10003,ZCTA5 10003,53825,36193,2367,9639,5285,341,ACS 2023 5-year (ZCTA)
10004,ZCTA5 10004,3875,2460,278,923,189,25,ACS 2023 5-year (ZCTA)
10005,ZCTA5 10005,9238,6254,405,1311,935,333,ACS 2023 5-year (ZCTA)
10006,ZCTA5 10006,4475,2932,271,1058,125,89,ACS 2023 5-year (ZCTA)
10007,ZCTA5 10007,7802,5593,704,1179,1016,0,ACS 2023 5-year (ZCTA)
10009,ZCTA5 10009,58341,32293,5002,7533,14245,0,ACS 2023 5-year (ZCTA)
10010,ZCTA5 10010,31905,20884,2912,4517,2701,891,ACS 2023 5-year (ZCTA)
10011,ZCTA5 10011,49344,35340,1950,5118,6398,538,ACS 2023 5-year (ZCTA)
10012,ZCTA5 10012,21846,15076,715,3780,2300,0,ACS 2023 5-year (ZCTA)
10013,ZCTA5 10013,28215,15873,1053,8621,2189,479,ACS 2023 5-year (ZCTA)
10014,ZCTA5 10014,29772,24317,907,1516,3223,0,ACS 2023 5-year (ZCTA)
10016,ZCTA5 10016,54297,33663,2534,10830,6161,1109,ACS 2023 5-year (ZCTA)
10017,ZCTA5 10017,14985,10102,491,2736,637,1019,ACS 2023 5-year (ZCTA)
10018,ZCTA5 10018,8764,3871,874,2402,1290,327,ACS 2023 5-year (ZCTA)
10019,ZCTA5 10019,44276,26883,2740,8151,7360,0,ACS 2023 5-year (ZCTA)
10021,ZCTA5 10021,39479,32620,232,3888,2633,106,ACS 2023 5-year (ZCTA)
10022,ZCTA5 10022,34340,26374,672,4026,2769,499,ACS 2023 5-year (ZCTA)
10023,ZCTA5 10023,67468,45595,3139,10948,6656,1130,ACS 2023 5-year (ZCTA)
10024,ZCTA5 10024,62576,50685,1883,2973,5600,1435,ACS 2023 5-year (ZCTA)
10025,ZCTA5 10025,93223,53927,9864,9406,20965,0,ACS 2023 5-year (ZCTA)
10026,ZCTA5 10026,37113,9819,17758,2369,6624,543,ACS 2023 5-year (ZCTA)
10027,ZCTA5 10027,65068,19634,23503,6669,15470,0,ACS 2023 5-year (ZCTA)
10028,ZCTA5 10028,45679,38602,744,3177,2780,376,ACS 2023 5-year (ZCTA)
10029,ZCTA5 10029,74848,15835,23634,8940,31403,0,ACS 2023 5-year (ZCTA)
10030,ZCTA5 10030,30781,4659,17951,1521,8372,0,ACS 2023 5-year (ZCTA)
10031,ZCTA5 10031,60305,12743,17393,2621,29473,0,ACS 2023 5-year (ZCTA)
10032,ZCTA5 10032,55579,12018,9029,2789,34688,0,ACS 2023 5-year (ZCTA)
10033,ZCTA5 10033,53611,17974,3801,1817,33822,0,ACS 2023 5-year (ZCTA)
10034,ZCTA5 10034,39037,10488,4360,1265,26191,0,ACS 2023 5-year (ZCTA)
10035,ZCTA5 10035,39082,7992,14923,2260,16341,0,ACS 2023 5-year (ZCTA)
10036,ZCTA5 10036,30589,17012,2474,4670,5706,727,ACS 2023 5-year (ZCTA)
10037,ZCTA5 10037,18333,2574,11736,775,3801,0,ACS 2023 5-year (ZCTA)
10038,ZCTA5 10038,23342,10416,2604,6875,2748,699,ACS 2023 5-year (ZCTA)
10039,ZCTA5 10039,30512,3183,16742,446,9987,154,ACS 2023 5-year (ZCTA)
10040,ZCTA5 10040,41581,11008,2780,731,28612,0,ACS 2023 5-year (ZCTA)
10044,ZCTA5 10044,11998,5063,1772,3538,1230,395,ACS 2023 5-year (ZCTA)
10065,ZCTA5 10065,31047,23642,680,4055,3099,0,ACS 2023 5-year (ZCTA)
10069,ZCTA5 10069,6669,3036,203,1947,556,927,ACS 2023 5-year (ZCTA)
10075,ZCTA5 10075,23865,19737,196,2276,1272,384,ACS 2023 5-year (ZCTA)
10128,ZCTA5 10128,59000,41579,3173,6166,7406,676,ACS 2023 5-year (ZCTA)
10280,ZCTA5 10280,8668,5333,161,2463,1023,0,ACS 2023 5-year (ZCTA)
10282,ZCTA5 10282,5960,4207,145,903,124,581,ACS 2023 5-year (ZCTA)
10301,ZCTA5 10301,39799,17504,9748,3050,11634,0,ACS 2023 5-year (ZCTA)
10302,ZCTA5 10302,19693,6572,4435,1180,8559,0,ACS 2023 5-year (ZCTA)
10303,ZCTA5 10303,25993,6824,9294,2607,9792,0,ACS 2023 5-year (ZCTA)
10304,ZCTA5 10304,45843,19743,12008,6090,10924,0,ACS 2023 5-year (ZCTA)
10305,ZCTA5 10305,41714,26964,1251,8626,6461,0,ACS 2023 5-year (ZCTA)
10306,ZCTA5 10306,57249,39494,1883,8985,10009,0,ACS 2023 5-year (ZCTA)
10307,ZCTA5 10307,14821,12665,7,693,1649,0,ACS 2023 5-year (ZCTA)
10308,ZCTA5 10308,29996,24886,229,2256,3297,0,ACS 2023 5-year (ZCTA)
10309,ZCTA5 10309,34918,30698,148,1390,3068,0,ACS 2023 5-year (ZCTA)
10310,ZCTA5 10310,25824,12927,5627,1338,8189,0,ACS 2023 5-year (ZCTA)
