year,zipcode,name,total_population,white_population,black_population,asian_population,hispanic_population,other_population,source_dataset
2024,10001,ZCTA5 10001,30511,15452,3419,6010,5173,457,ACS 2024 5-year (ZCTA)
2024,10002,ZCTA5 10002,76873,22760,6982,27854,18319,958,ACS 2024 5-year (ZCTA)
2024,10003,ZCTA5 10003,53560,35117,2855,8906,5437,1245,ACS 2024 5-year (ZCTA)
2024,10004,ZCTA5 10004,3711,2139,200,880,401,91,ACS 2024 5-year (ZCTA)
2024,10005,ZCTA5 10005,9439,6122,436,1295,1005,581,ACS 2024 5-year (ZCTA)
2024,10006,ZCTA5 10006,4096,2655,233,1013,172,23,ACS 2024 5-year (ZCTA)
2024,10007,ZCTA5 10007,7406,5641,337,799,711,0,ACS 2024 5-year (ZCTA)
2024,10009,ZCTA5 10009,60209,33143,5084,7293,14213,476,ACS 2024 5-year (ZCTA)
2024,10010,ZCTA5 10010,30702,19373,2582,4659,2772,1316,ACS 2024 5-year (ZCTA)
2024,10011,ZCTA5 10011,48277,33770,1887,5078,6331,1211,ACS 2024 5-year (ZCTA)
2024,10012,ZCTA5 10012,21426,14765,722,3869,1820,250,ACS 2024 5-year (ZCTA)
2024,10013,ZCTA5 10013,27219,14300,823,8622,1791,1683,ACS 2024 5-year (ZCTA)
2024,10014,ZCTA5 10014,29230,23063,985,1761,3148,273,ACS 2024 5-year (ZCTA)
2024,10016,ZCTA5 10016,52971,30403,2302,11029,6409,2828,ACS 2024 5-year (ZCTA)
2024,10017,ZCTA5 10017,15297,10115,534,2508,1132,1008,ACS 2024 5-year (ZCTA)
2024,10018,ZCTA5 10018,8559,3702,888,2526,1182,261,ACS 2024 5-year (ZCTA)
2024,10019,ZCTA5 10019,44942,25833,3421,7418,7991,279,ACS 2024 5-year (ZCTA)
2024,10021,ZCTA5 10021,39868,31837,328,4136,3288,279,ACS 2024 5-year (ZCTA)
2024,10022,ZCTA5 10022,34049,25231,744,4539,2220,1315,ACS 2024 5-year (ZCTA)
2024,10023,ZCTA5 10023,69455,45086,3355,11607,7384,2023,ACS 2024 5-year (ZCTA)
