dataset,school_name,level,ownership,zipcode,borough_or_city,category_raw,control_raw,lon,lat,source_note
schools_2020_points,A.C.E. Academy for Scholars at the Geraldine Ferra,elementary,public_nyc_doe,Q290,Ridgewood,Elementary,,-73.908307,40.71303,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Academy of the City Charter School,elementary,public_nyc_doe,Q359,Woodside,Elementary,,-73.902197,40.756181,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Achievement First Aspire Charter School,elementary,public_nyc_doe,K680,East New York,Elementary,,-73.876084,40.665817,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Achievement First Linden Elementary School,elementary,public_nyc_doe,K788,East New York,Elementary,,-73.885704,40.659934,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Achievement First North Brooklyn Prep Charter Scho,elementary,public_nyc_doe,K784,Bushwick South,Elementary,,-73.915159,40.693542,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Amber Charter School,elementary,public_nyc_doe,M705,East Harlem South,Elementary,,-73.943904,40.790932,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Amber Charter School II,elementary,public_nyc_doe,X592,Spuyten Duyvil-Kingsbridge,Elementary,,-73.907295,40.880738,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Ampark Neighborhood,elementary,public_nyc_doe,X344,Van Cortlandt Village,Elementary,,-73.891664,40.883049,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Archer Elementary School,elementary,public_nyc_doe,X531,West Farms-Bronx River,Elementary,,-73.866038,40.838151,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Baychester Academy,elementary,public_nyc_doe,X169,Eastchester-Edenwald-Baychester,Elementary,,-73.839386,40.881344,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bedford Park Elementary School,elementary,public_nyc_doe,X077,Norwood,Elementary,,-73.875375,40.872559,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bold Charter School,elementary,public_nyc_doe,X613,Soundview-Bruckner,Elementary,,-73.881894,40.825121,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Boys Preparatory Charter School of New York,elementary,public_nyc_doe,X465,West Concourse,Elementary,,-73.927397,40.820298,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bridge Preparatory Charter School,elementary,public_nyc_doe,R076,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Elementary,,-74.105883,40.607637,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brighter Choice Community School,elementary,public_nyc_doe,K627,Stuyvesant Heights,Elementary,,-73.941278,40.693654,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brilla College Prep Charter School,elementary,public_nyc_doe,X387,Mott Haven-Port Morris,Elementary,,-73.919316,40.812804,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brilla Veritas Charter School,elementary,public_nyc_doe,X586,Mott Haven-Port Morris,Elementary,,-73.921481,40.815311,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Arts and Science Charter School,elementary,public_nyc_doe,X619,Soundview-Castle Hill-Clason Point-Harding Park,Elementary,,-73.838299,40.825715,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for Better Learning,elementary,public_nyc_doe,X718,Eastchester-Edenwald-Baychester,Elementary,,-73.839288,40.884371,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for Better Learning II,elementary,public_nyc_doe,X484,Allerton-Pelham Gardens,Elementary,,-73.836525,40.863842,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for Children,elementary,public_nyc_doe,X407,Mott Haven-Port Morris,Elementary,,-73.919913,40.81264,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for Excellence 3,elementary,public_nyc_doe,X589,Williamsbridge-Olinville,Elementary,,-73.862924,40.888351,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for Excellence 5,elementary,public_nyc_doe,X620,Claremont-Bathgate,Elementary,,-73.89654,40.847487,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for Excellence II,elementary,public_nyc_doe,X579,Van Nest-Morris Park-Westchester Square,Elementary,,-73.864154,40.845897,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Charter School for the Arts,elementary,public_nyc_doe,X730,Hunts Point,Elementary,,-73.886477,40.821815,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Delta School,elementary,public_nyc_doe,X392,Schuylerville-Throgs Neck-Edgewater Park,Elementary,,-73.818083,40.826794,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Bronx Little School,elementary,public_nyc_doe,X691,West Farms-Bronx River,Elementary,,-73.866038,40.838151,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn Arbor Elementary School,elementary,public_nyc_doe,K414,North Side-South Side,Elementary,,-73.954678,40.710107,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn Arts and Science Elementary School,elementary,public_nyc_doe,K705,Crown Heights North,Elementary,,-73.960093,40.6771,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn Brownstone School,elementary,public_nyc_doe,K628,Stuyvesant Heights,Elementary,,-73.935891,40.681528,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn Charter School,elementary,public_nyc_doe,K701,Bedford,Elementary,,-73.947256,40.69447,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn Gardens Elementary School,elementary,public_nyc_doe,K557,East New York (Pennsylvania Ave),Elementary,,-73.897604,40.665446,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn Landmark Elementary School,elementary,public_nyc_doe,K599,Ocean Hill,Elementary,,-73.910719,40.680679,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Brooklyn RISE Charter School,elementary,public_nyc_doe,K937,Sunset Park West,Elementary,,-74.01214,40.643747,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Canarsie Ascend Charter School,elementary,public_nyc_doe,K759,Canarsie,Elementary,,-73.900432,40.643834,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Cardinal McCloskey Community Charter School,elementary,public_nyc_doe,X599,Belmont,Elementary,,-73.887345,40.851395,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Castle Bridge School,elementary,public_nyc_doe,M513,Washington Heights South,Elementary,,-73.938701,40.841032,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Central Brooklyn Ascend Charter School,elementary,public_nyc_doe,K790,Erasmus,Elementary,,-73.948982,40.638957,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Central Park East I,elementary,public_nyc_doe,M497,East Harlem South,Elementary,,-73.948488,40.793649,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Christopher Avenue Community School,elementary,public_nyc_doe,K401,Brownsville,Elementary,,-73.906018,40.672216,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Compass Charter School,elementary,public_nyc_doe,K789,Fort Greene,Elementary,,-73.971474,40.688769,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Concourse Village Elementary School,elementary,public_nyc_doe,X359,East Concourse-Concourse Village,Elementary,,-73.922527,40.823014,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Cornerstone Academy for Social Action,elementary,public_nyc_doe,X189,Co-op City,Elementary,,-73.830616,40.882778,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Cynthia Jenkins School,elementary,public_nyc_doe,Q037,St. Albans,Elementary,,-73.758778,40.676201,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,DREAM Mott Haven Charter School,elementary,public_nyc_doe,X614,East Concourse-Concourse Village,Elementary,,-73.92114,40.822574,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Dos Puentes Elementary School,elementary,public_nyc_doe,M103,Washington Heights North,Elementary,,-73.933964,40.850561,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Dr. Jacqueline Peek-Davis School,elementary,public_nyc_doe,K012,Ocean Hill,Elementary,,-73.920095,40.673124,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Earth School,elementary,public_nyc_doe,M364,Lower East Side,Elementary,,-73.981597,40.72313,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,East Elmhurst Community School,elementary,public_nyc_doe,Q329,East Elmhurst,Elementary,,-73.872244,40.761573,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,East Flatbush Ascend Charter School,elementary,public_nyc_doe,K934,East Flatbush-Farragut,Elementary,,-73.939706,40.652671,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,East Harlem Scholars Academy Charter School II,elementary,public_nyc_doe,M168,East Harlem South,Elementary,,-73.948488,40.793649,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,East New York Elementary School of Excellence,elementary,public_nyc_doe,K677,East New York,Elementary,,-73.879131,40.669358,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,"East Side Elementary School, PS 267",elementary,public_nyc_doe,M267,Lenox Hill-Roosevelt Island,Elementary,,-73.963861,40.763883,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,"Elementary School for Math, Science, and Technolog",elementary,public_nyc_doe,X382,Fordham South,Elementary,,-73.903139,40.855337,NYC Open Data School Point Locations / NYC DOE Public School Location Information
schools_2020_points,Elm Community Charter School,elementary,public_nyc_doe,Q385,Murray Hill,Elementary,,-73.816232,40.766487,NYC Open Data School Point Locations / NYC DOE Public School Location Information
