zipcode,rent,rent_score,business_count,business_score,combined_score
11354,2738.01,88.65,8640.0,99.67,94.16
11220,2649.67,92.21,6235.0,89.53,90.87
11204,2517.69,97.54,5224.0,84.03,90.78
11355,2570.82,95.4,5412.0,85.13,90.27
11372,2362.67,100,4220.0,77.39,88.69
11209,2454.78,100,4155.0,76.91,88.45
11235,2768.07,87.43,6197.0,89.34,88.39
11219,2919.6,81.31,7197.0,93.99,87.65
11230,2635.57,92.78,4791.0,81.34,87.06
11373,2392.94,100,3622.0,72.64,86.32
11229,2693.0,90.46,4883.0,81.93,86.19
11214,2702.58,90.08,4574.0,79.9,84.99
11223,2784.5,86.77,5035.0,82.88,84.82
11432,2460.78,99.84,2927.0,66.02,82.93
11375,2836.55,84.67,4577.0,79.92,82.3
11378,2574.42,95.25,2850.0,65.19,80.22
11377,2813.77,85.59,3730.0,73.55,79.57
11234,2844.42,84.35,3865.0,74.66,79.5
10462,2542.3,96.55,2575.0,62.03,79.29
10461,2607.9,93.9,2803.0,64.67,79.28
10467,2547.77,96.33,2548.0,61.71,79.02
11435,2363.74,100,2229.0,57.55,78.78
10314,2964.63,79.49,4251.0,77.62,78.56
10306,2629.17,93.04,2697.0,63.47,78.25
11358,2766.67,87.49,3116.0,67.96,77.72
10457,2406.0,100,2066.0,55.19,77.59
10309,1820.83,100,2049.0,54.93,77.47
11385,3088.78,74.48,4589.0,80.0,77.24
10468,2223.07,100,1940.0,53.23,76.61
11103,2684.14,90.82,2594.0,62.26,76.54
11226,2821.35,85.28,3074.0,67.54,76.41
11368,2919.6,81.31,3450.0,71.13,76.22
11232,2871.58,83.25,3116.0,67.96,75.6
10455,2391.67,100,1779.0,50.54,75.27
11218,3141.23,72.36,4296.0,77.95,75.16
11365,2523.08,97.32,1921.0,52.93,75.12
11374,2789.93,86.55,2634.0,62.74,74.64
11361,2811.13,85.69,2612.0,62.48,74.08
10305,2673.61,91.25,2133.0,56.18,73.72
10034,2457.2,99.99,1595.0,47.14,73.56
11228,2697.22,90.29,2049.0,54.93,72.61
11105,2848.58,84.18,2433.0,60.27,72.23
10469,2627.32,93.12,1822.0,51.28,72.2
11210,2843.84,84.37,2397.0,59.81,72.09
10463,2919.17,81.33,2630.0,62.69,72.01
10304,2556.76,95.96,1616.0,47.55,71.75
10033,2815.09,85.53,2247.0,57.8,71.66
11106,2919.65,81.31,2551.0,61.74,71.53
11367,2608.33,93.88,1687.0,48.89,71.38
11418,2676.94,91.11,1841.0,51.6,71.36
11205,3283.85,66.6,3920.0,75.1,70.85
11208,2847.05,84.24,2177.0,56.81,70.53
10032,2751.81,88.09,1868.0,52.06,70.08
10312,2860.22,83.71,2129.0,56.12,69.91
11434,2919.6,81.31,2285.0,58.32,69.81
11357,2913.33,81.56,2242.0,57.73,69.64
