zipcode,population_density_score,white_pct,black_pct,asian_pct,hispanic_pct,elementary_school_score,middle_school_score,university_score,crime_per_1000_score
10001,38.91,50.64,11.21,19.7,16.95,0,9.09,72.55,100
10002,81.51,29.61,9.08,36.23,23.83,86.67,100,43.44,32.61
10003,86.98,65.57,5.33,16.63,10.15,26.67,81.82,67.06,18.69
10004,17.24,57.64,5.39,23.71,10.81,6.67,45.45,18.22,30.36
10005,100,64.86,4.62,13.72,10.65,0,0,0,37.51
10006,34.79,64.82,5.69,24.73,4.2,0,9.09,43.44,31.9
10007,33.41,76.17,4.55,10.79,9.6,0,0,0,38.38
10009,93.86,55.05,8.44,12.11,23.61,46.67,0,0,16.52
10010,75.34,63.1,8.41,15.17,9.03,0,27.27,49.42,100
10011,71.39,69.95,3.91,10.52,13.11,13.33,81.82,50.05,49.97
10012,59.89,68.91,3.37,18.06,8.49,0,0,67.06,46.93
10013,43.16,52.54,3.02,31.68,6.58,13.33,18.18,77.55,44.7
10014,51.1,78.9,3.37,6.02,10.77,0,9.09,0,100
10016,94.09,57.4,4.35,20.82,12.1,6.67,18.18,64.5,6.46
10017,34.7,66.12,3.49,16.4,7.4,0,0,46.36,8.24
10018,19.66,43.25,10.38,29.51,13.81,0,0,25.07,100
10019,58.13,57.48,7.61,16.51,17.78,13.33,90.91,67.99,100
10021,99.32,79.86,0.82,10.37,8.25,0,0,65.6,17.71
10022,70.87,74.1,2.19,13.33,6.52,0,0,45.34,5.19
10023,100,64.91,4.83,16.71,10.63,20,63.64,39.94,22.56
10024,67.78,76.68,3.46,6.21,9.99,26.67,36.36,0,2.09
10025,100,54.95,10.95,9.93,21.58,40,54.55,64.43,3.45
10026,100,26.08,45.65,6,19.59,46.67,0,0,91.94
10027,66.92,26.64,36.85,11.38,23.97,80,18.18,100,19.58
10028,100,82.99,1.33,6.36,7.22,6.67,0,0,11.92
10029,89.93,19.52,31.04,11.52,42.21,100,54.55,64.43,46.39
10030,100,14.28,53.97,4.63,27.33,33.33,9.09,0,51.43
10031,88.5,19.67,28.26,4.49,49.72,40,27.27,39.36,36.1
10032,79.19,19.17,15.03,6.24,60.66,46.67,36.36,43.44,44.42
10033,86.32,30.76,5.79,3.56,64,33.33,18.18,43.44,21.99
10034,27.32,24.07,9.02,2.85,67.99,40,0,0,23.85
10035,19.45,20.76,33.81,5.45,43.95,73.33,18.18,71.53,100
10036,62.2,51.97,8.88,15.58,17.15,13.33,18.18,100,100
10037,67.58,13.09,65.88,2.38,18.98,26.67,0,0,57.64
10038,74.49,46.53,10.55,28.96,11.43,20,27.27,43.73,42.93
10039,68.53,8.55,53.49,1.72,34.69,13.33,0,0,40
10040,100,26.56,6.89,1.71,68.25,33.33,63.64,0,22.92
10044,43.87,44.57,12.59,26.52,12.43,0,0,0,37.25
10065,75.02,76.53,2.1,12.38,9.12,13.33,27.27,64.24,10
10069,70.06,40.51,2.6,31.2,8.85,0,0,0,17.19
10075,100,81.3,2.48,8.6,5.4,0,9.09,0,14.51
10128,100,67.98,5.45,10.32,12.98,26.67,0,0,13.42
10280,76.47,63.76,2.18,28.72,3.5,0,0,0,44.35
10282,85.78,60.57,8.39,18.48,2.41,0,9.09,0,38.44
10301,3.3,40.53,23.86,8.7,29.84,53.33,18.18,0,91.36
10302,7.93,27.51,19.83,6.97,47.39,6.67,18.18,0,18.12
10303,0.16,22.15,34.17,10.34,37.63,13.33,0,0,18.99
10304,3.85,38.26,26.47,15.1,23.25,33.33,9.09,0,2.25
10305,1.84,58.81,3.74,23.16,14.77,20,0,0,5.16
10306,0,68.01,3.38,16.15,15.43,20,18.18,0,2.87
10307,0.1,85.76,0.03,2.6,12.35,0,0,0,0
10308,7.33,78.12,0.91,7.91,14.65,20,0,0,4.29
10309,0,86.36,0.79,4.38,7.75,26.67,0,0,0
10310,6.32,46.42,21.43,4.76,34.04,13.33,0,0,87.04
10312,0,75.26,1.22,11.39,13.21,26.67,18.18,0,0
10314,0,63.28,3.84,18.16,14.81,60,45.45,0,18.48
10451,42.04,10.9,47.85,1.18,49.94,73.33,81.82,0,65.51
10452,70.17,7.13,34.24,0.7,65.43,80,0,0,100
10453,76.4,9.08,31.05,0.76,67.34,100,72.73,0,94.95
10454,30.32,6.06,26.76,0.69,71.29,100,36.36,0,67.93
10455,55.86,6.63,28.83,1.68,74.17,53.33,81.82,0,66.02
10456,80.05,6.98,43.95,1.25,55.5,100,100,0,67.48
10457,68.6,5.59,35.31,0.93,64.85,100,100,0,33.57
10458,68.15,12.78,19.39,3.06,66.64,46.67,90.91,0,88.97
10459,52.25,7.45,35.25,0.84,66.7,40,54.55,0,77.56
10460,37.92,6.89,35.26,1.31,63.35,80,81.82,0,37.14
10461,13.7,35.33,11.07,13.32,46.53,33.33,0,0,26.51
10462,44.46,14.42,22.48,18.81,45.81,66.67,9.09,0,28.23
10463,36.94,34.76,13.97,4.27,51.01,40,81.82,0,7.38
10464,0,68.89,1.57,2.35,23.28,0,0,0,50.76
10465,5.05,40.13,11.75,6.98,47.42,40,72.73,0,39.86
10466,27.56,4.06,62.98,2.51,28.71,53.33,54.55,0,15.56
10467,33.69,11.8,30.86,6.14,54.24,60,100,0,17.44
10468,63.9,6.71,20.7,2.33,75.59,40,100,0,7.73
10469,21.21,11.64,56.3,6.28,27.38,33.33,54.55,0,17.52
10470,2.66,39.86,27.51,3.44,28.16,13.33,0,0,13.72
10471,0.81,55.81,9.58,4.17,29.73,0,0,0,4.7
10472,53.8,6.87,25.32,7.93,62.35,46.67,63.64,0,60.22
10473,19.35,9.16,39.19,3.42,60.3,53.33,81.82,0,55.69
10474,0,2.99,24.96,0.28,73.03,20,0,0,84.6
10475,14.27,6.84,64.7,1.21,29.32,40,36.36,0,42.34
11004,1.98,28.01,6.21,49.39,12.3,0,0,0,48.87
11101,7.99,34.98,9.25,33.22,18.34,13.33,100,0,2.53
11102,28.53,48.38,8.01,14.88,26.6,20,0,0,40.92
11103,42.32,55.39,2.87,14.11,26.22,0,0,0,38.03
11104,60.74,43.98,2.95,25.33,28.67,13.33,0,0,11.05
11105,14.57,64.67,3.35,9.28,22.49,13.33,0,0,35.7
11106,40.69,44.05,7.59,18.18,27.55,26.67,36.36,0,33.06
11109,100,59.03,1.85,24.09,9.93,0,0,0,3.73
11201,43.37,59.76,11.01,13.69,12.54,40,90.91,0,58.94
11203,27.28,6.14,76.58,2.19,7.28,86.67,72.73,0,100
11204,43.21,53.58,1.33,29.47,13.02,53.33,9.09,0,0
11205,48.04,53.35,21.22,6.87,13.44,60,27.27,0,44.24
11206,58.35,43.82,18.82,6.39,34.43,100,45.45,0,6.1
11207,27.38,8.31,55.93,2.17,31.89,100,100,0,46.37
11208,20.86,4.99,40.46,11.28,41.46,73.33,100,0,43.02
11209,25.44,62.38,3.43,12.38,20.78,33.33,0,0,14.08
11210,27.78,29.07,50.13,5.52,7.91,40,18.18,0,12.13
11211,20.64,60.81,4.39,7.93,25.38,40,90.91,0,22.23
11212,51.1,5.6,69.47,1.29,18.58,100,100,0,29.14
11213,56.52,25.49,55.73,2,12.33,46.67,63.64,0,18.41
11214,34.06,40.84,2.06,37.76,18.04,46.67,45.45,0,41.99
11215,24.4,70.98,2.97,9.18,14.43,53.33,63.64,0,4.83
11216,58.3,29.31,46.95,5.05,12.8,46.67,45.45,0,85.83
11217,50.95,50.43,16.98,9.6,16.03,26.67,36.36,0,55.43
11218,43.43,48.91,8.55,21.01,17.72,33.33,36.36,0,0
11219,57.04,60.97,1.48,20.83,13.2,33.33,27.27,0,0
11220,45.29,19.33,2.43,38.28,41.29,60,9.09,0,6.22
11221,59.69,23.94,37.56,5.36,30.77,100,100,0,23.54
11222,20.21,69.77,5.3,5.82,13.76,13.33,9.09,0,53.59
11223,30.31,50.42,5.59,26.94,14.13,46.67,18.18,0,2.42
11224,24.2,47,23.53,7.61,20.49,40,27.27,0,86.23
11225,59.31,29.69,52.75,3.88,8.58,33.33,72.73,0,54.76
11226,67.58,16.34,58.53,4.79,15.26,40,27.27,0,41.8
11228,20.97,50.42,1.31,34.68,14.21,20,9.09,0,17.84
11229,28.84,58.72,7.35,22.41,9.04,20,18.18,0,2.81
11230,40.18,56.11,8.94,17.4,12.22,26.67,0,0,0
11231,19.51,63.19,10.99,5.05,16.9,33.33,0,0,40.49
11232,17.34,30.93,7.68,13.72,53.02,20,27.27,0,4.74
11233,54.06,12.07,67.29,2.22,16.89,86.67,45.45,0,33.55
11234,3.3,34.65,42.44,8.81,9.72,53.33,0,0,11.92
11235,27.53,67.97,3.07,14.64,9.37,40,72.73,0,1.36
11236,17.44,4.23,79.23,2.06,7.83,73.33,100,0,19.88
11237,39,30.95,11.65,7.31,48.63,40,9.09,0,100
11238,45.87,47.7,24.83,7.1,14.06,53.33,54.55,0,17.32
11239,32.08,16.48,61.82,2.22,19.96,0,9.09,0,34.56
11354,16.18,15.75,3.41,63.29,16.92,13.33,36.36,0,15.8
11355,39.1,7.89,2.19,74.16,14.93,20,18.18,0,14.48
11356,8.12,20.94,1.11,39.2,39.6,6.67,0,0,11.32
11357,7.14,54.5,0.42,26.27,15.65,20,0,0,11.83
11358,11.19,29.49,0.68,48.83,19.16,6.67,0,0,14.06
11360,3.47,55.67,1.81,30.79,11.58,0,0,0,14.72
11361,8.66,37.29,3.31,41.79,17.72,33.33,9.09,0,0
11362,0,38.17,4.92,46.06,10,6.67,0,0,2.21
11363,0,53.48,0.91,30.83,11.5,6.67,0,0,1.21
11364,5.97,31.35,2.15,50.45,14.23,26.67,9.09,0,2.87
11365,8.6,24.62,9.79,45.07,19.34,33.33,9.09,0,3.27
11366,3.92,31.52,4.13,42.23,18.09,6.67,0,0,17.82
11367,7.71,47.2,6.91,24.08,19.57,26.67,27.27,0,15.58
11368,32.21,10.49,11.17,12.3,72.97,53.33,18.18,0,27.12
11369,7.83,9.22,18.84,12.62,59.78,6.67,9.09,0,43.56
11370,12.54,30.19,6.85,26.23,37.8,6.67,0,0,50.14
11372,81.75,26.02,2,20.35,54.84,33.33,9.09,0,42.51
11373,57.87,7.63,1.75,48.26,43.36,20,63.64,0,22.46
11374,43.08,37.92,4.87,29.51,22.95,20,0,0,10.12
11375,31.31,47.83,3.83,28.48,17.44,26.67,18.18,0,11.64
11377,24.4,24.88,2.63,37,38.81,53.33,9.09,0,12.79
11378,5.84,51.3,0.9,16.49,32.02,13.33,9.09,0,11.78
11379,9.55,62.61,1.51,11.92,23.63,13.33,0,0,18.37
11385,20.07,47.54,4.05,7.11,45.66,66.67,18.18,0,19.08
11411,8.89,2.92,82.73,2.86,8.9,6.67,27.27,0,30.12
11412,16.24,1.16,78.92,4.48,8.66,33.33,0,0,31.4
11413,6.38,1.56,84.49,1.34,9.17,40,54.55,0,0
11414,5.33,64.01,5.19,4.5,25.39,20,0,0,12.71
